t1,v,t2,P
0,0.197278899,0,11760.3925
0.0439767,0.206670762,0.0201732,11713.53755
0.0736966,0.25694018,0.0299891,11713.53755
0.0869548,0.329283444,0.049634,11994.65392
0.111223,0.423202078,0.0692939,12603.75494
0.135528,0.553411932,0.0791487,13447.1707
0.15976,0.611039719,0.0988647,15274.4471
0.181759,0.632416769,0.123521,17804.6144
0.203712,0.606612783,0.150633,20381.57
0.230031,0.551696866,0.18508,22349.4779
0.261824,0.474906982,0.214582,23520.785
0.301301,0.390719436,0.234229,23848.703
0.335298,0.321147835,0.253854,23708.2048
0.368183,0.237079504,0.293088,23052.2355
0.404385,0.174726483,0.331068,21834.0068
0.434022,0.141526023,0.377588,19538.1809
0.481289,0.155185014,0.395937,18319.9522
0.538463,0.194978303,0.44371,16586.3857
0.607714,0.210452772,0.514785,14618.4778
0.692338,0.201168091,0.616565,13306.57919
0.70773,0.198073197,0.686478,12530.2
0.75,0.197278899,0.75,11760.3925
